,Unit,Values,Description
hurdle_costs,EUR/MWh,float,Marginal cost for transmission lines in Cost-Benefit Analysis networks. Used to represent congestion costs and market inefficiencies. Defaults to 0.01.
planning_horizons,--,list of int,List of planning horizons for which to run CBA
methods,--,list of str,"CBA methodologies to apply. Options include 'toot' (Take One Out at a Time) and 'pint' (Put In at a Time). Defaults to ['toot', 'pint']."
projects,--,list of str,"List of TYNDP project identifiers to evaluate in the CBA workflow. Format follows TYNDP project naming conventions (e.g., 't1-t35')."
method_assignment,--,"{'entsoe_labels', 'custom_labels', 'algorithmic'}","Mode for determining TOOT/PINT method assignment per project. 'entsoe_labels' extracts from Excel 'Chosen Approach' column (default), 'custom_labels' reads from existing method_assignment.csv, 'algorithmic' uses heuristic rules (not yet implemented)."
storage -- cyclic_carriers,--,list of str,"List of store carrier names that should remain cyclic during CBA dispatch (e.g., battery, home battery, and fuel stores like lignite, coal, oil, uranium). These maintain e_cyclic=True in simplify_sb_network."
storage -- seasonal_carriers,--,list of str,"List of store carrier names with seasonal behavior (e.g., H2 Store, gas, co2 sequestered). These have e_cyclic=False and receive marginal storage values (MSV) from the perfect foresight MSV extraction to capture seasonal patterns in rolling horizon optimization."
msv_extraction -- resolution,--,str,"Temporal resolution for MSV extraction solve (e.g., '3H', '6H', '24H'). Lower resolution reduces solve time while still capturing seasonal patterns. Set to false for full hourly resolution."
msv_extraction -- extreme_threshold,EUR/MWh,float,"Threshold for warning about extreme MSV values. Values above this threshold may indicate model issues or unusual scarcity patterns. Default is 1000."
msv_extraction -- resample_method,--,"{'ffill', 'bfill', 'interpolate', 'nearest', 'rolling_mean'}","Method for resampling MSV to target network resolution. 'ffill' (forward fill, default) is appropriate for shadow prices representing discrete time periods. 'interpolate' provides smoother transitions. 'rolling_mean' applies smoothing after forward fill (requires rolling_window)."
msv_extraction -- rolling_window,--,int,"Window size (number of snapshots) for rolling mean smoothing. Only used when resample_method='rolling_mean'. Set to null for other methods."
solving,,,Configuration options specific to CBA network optimization using rolling horizon approach. Uses the same structure as the top-level ``solving`` section (see :ref:`solving_cf`) with CBA-specific defaults for ``options: horizon`` (168 hours) and ``solver: name`` (highs).
